151635 ,СМЕТАНА ,нет ,кафе , "город  Москва ,  улица  Егора  Абакумова ,  дом  9 " ,48
21687 ,Шантимель ,да ,кафе , "город  Москва ,  Астраханский  переулок ,  дом  1/15 " ,20
23843 ,КАРЛ  БАЛЕНГ ,нет ,кафе , "город  Москва ,  улица  Ивана  Бабушкина ,  дом  17 ,  корпус  1 " ,46
25274 ,Старый  дворик ,нет ,кафе , "город  Москва ,  Байкальская  улица ,  дом  31 " ,50
124164 ,Пивной  погребок ,нет ,кафе , "город  Москва ,  Бакинская  улица ,  дом  29 " ,15
59265 ,Кафе-бар  Альбом ,нет ,кафе , "город  Москва ,  Новая  Басманная  улица ,  дом  12 ,  строение  2 " ,80
21830 ,Шоколадница ,да ,кафе , "город  Москва ,  Бауманская  улица ,  дом  33/2 ,  строение  1 " ,48
22366 ,МУ-МУ ,да ,кафе , "город  Москва ,  Бауманская  улица ,  дом  35/1 " ,160
143094 ,Кальянный  клуб  Дымок  Уголек ,нет ,кафе , "город  Москва ,  Татарская  улица ,  дом  14 " ,30
22804 ,Домино'с  Пицца ,да ,кафе , "город  Москва ,  Башиловская  улица ,  дом  3 ,  корпус  1 " ,10
22805 ,Хинкальная  City ,да ,кафе , "город  Москва ,  Башиловская  улица ,  дом  19 " ,63
69176 ,Хинкальный  дом  Колхида ,нет ,кафе , "город  Москва ,  Беговая  улица ,  дом  7 " ,47
155857 ,Глав  Пирог ,нет ,кафе , "город  Москва ,  Беговая  улица ,  дом  17 ,  корпус  1 " ,30
23993 ,КРУЖКА ,да ,кафе , "город  Москва ,  Бережковская  набережная ,  дом  8 " ,32
20422 ,ПОСТ  СКРИПТУМ ,нет ,кафе , "город  Москва ,  Бережковская  набережная ,  дом  14 " ,48
69160 ,CIAO  BELLA ,нет ,кафе , "город  Москва ,  улица  Берзарина ,  дом  8 " ,110
115311 ,Жигулевское ,нет ,кафе , "город  Москва ,  Бибиревская  улица ,  дом  7 ,  корпус  1 " ,49
152892 ,Чайникофф ,нет ,кафе , "город  Москва ,  улица  Маршала  Бирюзова ,  дом  9 " ,30
22293 ,ЛУКУМ ,нет ,кафе , "город  Москва ,  улица  Маршала  Бирюзова ,  дом  12 " ,25
142568 ,Хинкальная  (на  М.  Бирюзова) ,нет ,кафе , "город  Москва ,  улица  Маршала  Бирюзова ,  дом  16 " ,14
129397 ,СУШИ  ВОК ,да ,кафе , "город  Москва ,  улица  Маршала  Бирюзова ,  дом  19 " ,6
58827 ,ТРАТТОРИЯ ,нет ,кафе , "город  Москва ,  улица  Маршала  Бирюзова ,  дом  22 ,  корпус  1 " ,45
69377 ,СУШИ  STORE ,нет ,кафе , "город  Москва ,  улица  Маршала  Бирюзова ,  дом  28 " ,6
69159 ,БУЛОЧНАЯ  №  5 ,нет ,кафетерий , "город  Москва ,  улица  Маршала  Бирюзова ,  дом  28 " ,10
24437 ,Идилия ,нет ,кафе , "город  Москва ,  Бойцовая  улица ,  дом  17 ,  корпус  1 " ,48
24656 ,Хочу  на  дачу ,нет ,кафе , "город  Москва ,  1-й  Боткинский  проезд ,  дом  2/6 " ,48
22284 ,СТАРЫЙ  БАТУМЪ ,нет ,кафе , "город  Москва ,  улица  Академика  Бочвара ,  дом  7 ,  корпус  1 " ,70
24779 ,Кафе  Русский  «водочный»  дом ,нет ,кафе , "город  Москва ,  улица  Бочкова ,  дом  5 " ,30
76961 ,Виктория ,да ,кафе , "город  Москва ,  2-я  Брестская  улица ,  дом  24/15 " ,98
72564 ,Вареничная  №1 ,да ,кафе , "город  Москва ,  2-я  Брестская  улица ,  дом  43 " ,75
25796 ,Пиццерия  «АКАДЕМИЯ» ,да ,кафе , "город  Москва ,  Большая  Бронная  улица ,  дом  2/6 " ,43
129113 ,Чебуречная  СССР ,да ,кафе , "город  Москва ,  Большая  Бронная  улица ,  дом  27/4 " ,54
150625 ,Пай  поинт ,нет ,кафе , "город  Москва ,  Большая  Бронная  улица ,  дом  27/4 " ,20
138699 , "Кафе  «Есть  Хинкали ,  пить  Вино» " ,нет ,кафе , "город  Москва ,  Малая  Бронная  улица ,  дом  4 " ,40
138703 ,Кафе  «Лаффа  Лаффа» ,нет ,кафе , "город  Москва ,  Малая  Бронная  улица ,  дом  4 " ,24
81431 ,Кафе  «Эстетик» ,нет ,кафе , "город  Москва ,  Малая  Бронная  улица ,  дом  20 ,  строение  1 " ,25
141006 ,Кафе  «AVOCADO  QUEEN» ,нет ,кафе , "город  Москва ,  Малая  Бронная  улица ,  дом  20 ,  строение  1 " ,40
45561 ,Grand  Cru ,да ,кафе , "город  Москва ,  Малая  Бронная  улица ,  дом  22 ,  строение  1 " ,45
140349 ,Кафе  «Ladure» ,нет ,кафе , "город  Москва ,  Малая  Бронная  улица ,  дом  27/14 " ,14
23261 ,Бильярдный  Бар-клуб  Полковник  и  Байрон ,нет ,кафе , "город  Москва ,  проспект  Будённого ,  дом  1/1 " ,10
25768 ,Пиццерия  «Питто» ,нет ,кафе , "город  Москва ,  проспект  Будённого ,  дом  24 ,  корпус  1 " ,20
23594 ,Кафе  «БИРЮСА» ,нет ,кафе , "город  Москва ,  Булатниковская  улица ,  дом  5 ,  корпус  4 " ,20
25608 ,Шоколадница ,да ,кафе , "город  Москва ,  Бутырская  улица ,  дом  7 " ,25
22801 ,Финист ,нет ,кафе , "город  Москва ,  Бутырская  улица ,  дом  11 " ,95
22996 ,KVARTA ,нет ,кафе , "город  Москва ,  Бутырская  улица ,  дом  84 " ,38
137903 ,PIZZA  HUT ,нет ,кафе , "город  Москва ,  улица  Вавилова ,  дом  72/13 " ,10
24606 ,Радэа ,нет ,кафе , "город  Москва ,  Нахимовский  проспект ,  владение  75А " ,7
142684 ,Кофейня  Даблби ,нет ,кафе , "город  Москва ,  Валовая  улица ,  дом  2-4/44 ,  строение  1 " ,20
144250 ,Сабвей ,да ,кафе , "город  Москва ,  Валовая  улица ,  дом  6 " ,22
27207 ,ресторан  «Якитория» ,да ,кафе , "город  Москва ,  Валовая  улица ,  дом  8/18 " ,124
24109 ,кафе  Баловень ,нет ,кафе , "город  Москва ,  Валовая  улица ,  дом  11/19 " ,35
24155 ,Советские  времена ,да ,кафе , "город  Москва ,  Варсонофьевский  переулок ,  дом  6 " ,82
155973 ,Кафе  «Андерсон» ,да ,кафе , "город  Москва ,  Варшавское  шоссе ,  дом  2 " ,150
23618 ,Кафе  «Subway» ,да ,кафе , "город  Москва ,  Варшавское  шоссе ,  дом  7 ,  корпус  1 " ,36
155852 ,Кафе  «Ламаджо» ,нет ,кафе , "город  Москва ,  Варшавское  шоссе ,  дом  29 " ,30
120658 ,Выпечка ,нет ,кафетерий , "город  Москва ,  Варшавское  шоссе ,  дом  100 " ,2
26279 ,Ресторан  «Макдоналдс» ,да ,кафе , "город  Москва ,  Варшавское  шоссе ,  дом  143А " ,70
158148 ,Кофе  «Кофе  собой» ,нет ,кафе , "город  Москва ,  Васильевская  улица ,  дом  2 ,  корпус  1 " ,10
24269 ,Кафе  «КАЛИНКА-Д» ,нет ,кафе , "город  Москва ,  Васильевская  улица ,  дом  4 " ,98
141687 ,Пироговая  Рогова ,нет ,кафе , "город  Москва ,  проспект  Вернадского ,  дом  9/10 " ,42
148853 ,Кафе  контдитерская  Кузина ,нет ,кафе , "город  Москва ,  проспект  Вернадского ,  дом  11/19 " ,5
149149 ,Суши  WoK ,да ,кафе , "город  Москва ,  проспект  Вернадского ,  дом  11/19 " ,8
128511 ,Аморе ,нет ,кафе , "город  Москва ,  проспект  Вернадского ,  дом  11/19 " ,10
24875 ,Шоколад ,да ,кафе , "город  Москва ,  проспект  Вернадского ,  дом  11/19 " ,50
24604 ,Кафе  35 ,нет ,кафе , "город  Москва ,  улица  Кравченко ,  дом  24/35 " ,40
20147 ,Кафе  «Пекарня  «Мюнгер»» ,нет ,кафе , "город  Москва ,  проспект  Вернадского ,  дом  97 ,  корпус  1 " ,30
19989 ,ГудБар ,нет ,кафе , "город  Москва ,  проспект  Вернадского ,  дом  97 ,  корпус  1 " ,40
19700 ,Кафе  «ТЕАТР  НА  ЮГО-ЗАПАДЕ» ,нет ,кафе , "город  Москва ,  проспект  Вернадского ,  дом  125 " ,20
24646 ,Угол ,нет ,кафе , "город  Москва ,  Верхняя  улица ,  дом  3 ,  корпус  2 " ,71
23169 ,МАРИНА ,нет ,кафе , "город  Москва ,  улица  Вешних  Вод ,  дом  8 ,  корпус  2 " ,90
23185 ,Кафе-бар  «Караоке  MyzOn» ,нет ,кафе , "город  Москва ,  Вешняковская  улица ,  дом  2 " ,32
23229 ,Пицца  Фабрика ,да ,кафе , "город  Москва ,  1-я  Владимирская  улица ,  дом  14 " ,18
77929 ,Subway ,да ,кафе , "город  Москва ,  2-я  Владимирская  улица ,  дом  36 " ,14
149428 ,Домино'с  Пицца ,да ,кафе , "город  Москва ,  2-я  Владимирская  улица ,  дом  52 ,  корпус  2 " ,18
25814 ,Домино'с  Пицца ,да ,кафе , "город  Москва ,  3-я  Владимирская  улица ,  дом  6 " ,8
24872 ,Хинкальная ,да ,кафе , "город  Москва ,  улица  Академика  Волгина ,  дом  29 ,  корпус  1 " ,80
22005 ,Кафе  «Якитория» ,да ,кафе , "город  Москва ,  Волгоградский  проспект ,  дом  15 " ,158
25583 ,Кафе  «Чебурекас» ,нет ,кафе , "город  Москва ,  Волгоградский  проспект ,  дом  17 ,  строение  1 " ,65
22833 ,Кружка ,да ,кафе , "город  Москва ,  Волоколамское  шоссе ,  дом  3 " ,45
22834 ,ПРО  кафе ,нет ,кафе , "город  Москва ,  Волоколамское  шоссе ,  дом  13 " ,48
22835 ,Чебуречная  СССР ,да ,кафе , "город  Москва ,  Волоколамское  шоссе ,  дом  15/22 " ,60
24332 ,IL  PIZZAIOLO ,нет ,кафе , "город  Москва ,  улица  Волхонка ,  дом  6 " ,50
25738 ,Пельмени ,нет ,кафе , "город  Москва ,  улица  Волхонка ,  дом  7/6 " ,40
25003 ,Эко-Няма ,нет ,кафе , "город  Москва ,  Воронцовская  улица ,  дом  13/14 ,  строение  3 " ,8
24992 ,Кафе  «Верона» ,нет ,кафе , "город  Москва ,  Воронцовская  улица ,  дом  36 ,  строение  1 " ,55
25447 ,Французская  пекарня ,нет ,кафе , "город  Москва ,  Воронцовская  улица ,  дом  48 " ,25
22029 ,Кафе  «Subway» ,да ,кафе , "город  Москва ,  Воронцовская  улица ,  дом  48 " ,42
83940 ,Тирольские  пироги ,да ,кафетерий , "город  Москва ,  Воронцовская  улица ,  дом  48 " ,30
25090 ,ООО  «ТЕАТРО» ,нет ,кафе , "город  Москва ,  Воротниковский  переулок ,  дом  11 ,  строение  1 " ,35
26044 ,Ресторан  «Балзи  Росси» ,нет ,кафе , "город  Москва ,  Кудринская  площадь ,  дом  1 " ,100
74613 ,Кофе  Хаус ,да ,кафе , "город  Москва ,  Кудринская  площадь ,  дом  1 " ,70
76765 ,Шоколадница ,да ,кафе , "город  Москва ,  Кудринская  площадь ,  дом  1 " ,50
89468 ,Кафе  «Кондитерская  Олега  Ильина» ,нет ,кафе , "город  Москва ,  Кудринская  площадь ,  дом  1 " ,45
22691 ,Хинкала ,нет ,кафе , "город  Москва ,  улица  8  Марта ,  дом  15 " ,44
25487 ,СУЩЕВСКИЙ  ДВОРИК ,нет ,кафе , "город  Москва ,  2-й  Вышеславцев  переулок ,  дом  17 " ,48
80355 ,Кофейня  Авеню ,нет ,кафе , "город  Москва ,  улица  Бориса  Галушкина ,  дом  10 " ,38
147931 ,Кафе  «PRIME  CAFE» ,нет ,кафе , "город  Москва ,  Большая  Никитская  улица ,  дом  24/1 ,  строение  1 " ,80
25654 ,Шоколадница ,да ,кафе , "город  Москва ,  Большая  Никитская  улица ,  дом  24/1 ,  строение  1 " ,50
24159 ,Кафе  «Лавка  и  кафе  студии  Лебедева» ,нет ,кафе , "город  Москва ,  Большая  Никитская  улица ,  дом  35 " ,30
148305 ,КОТИКИЛЮДИ ,нет ,кафе , "город  Москва ,  улица  Гиляровского ,  дом  17 " ,40
21745 ,Шантимель ,да ,кафе , "город  Москва ,  улица  Гиляровского ,  дом  60 ,  строение  1 " ,20
76582 ,ХачапуриТверскя ,нет ,кафе , "город  Москва ,  Большой  Гнездниковский  переулок ,  дом  10 " ,76
71810 ,Get  Lucky ,нет ,кафе , "город  Москва ,  Малый  Гнездниковский  переулок ,  дом  9 ,  строение  7 " ,30
25111 ,МУ-МУ ,да ,кафе , "город  Москва ,  Малый  Гнездниковский  переулок ,  дом  9 ,  строение  7 " ,120
128456 ,Хинкальная ,да ,кафе , "город  Москва ,  Гоголевский  бульвар ,  дом  23 " ,30
140347 ,Чемодан ,нет ,кафе , "город  Москва ,  Гоголевский  бульвар ,  дом  25 ,  строение  1 " ,50
101981 ,Кулинарная  Лавка  Братьев  Караваевых  Братья  Караваевы ,да ,кафе , "город  Москва ,  Гоголевский  бульвар ,  дом  33/1 " ,50
22596 ,ГИН-НО-ТАКИ ,нет ,кафе , "город  Москва ,  Тверская  улица ,  дом  6 ,  строение  1 " ,270
120430 ,Хлеб  и  Вино ,нет ,кафе , "город  Москва ,  Тверская  улица ,  дом  12 ,  строение  2 " ,65
22605 ,Бирхаус ,нет ,кафе , "город  Москва ,  Тверская  улица ,  дом  12 ,  строение  7 " ,56
141533 ,С  утра ,нет ,кафе , "город  Москва ,  Тверская  улица ,  дом  12 ,  строение  8 " ,48
129210 ,Вареничная  №  1 ,нет ,кафе , "город  Москва ,  Тверская  улица ,  дом  14 " ,78
157127 ,LUNCHROOM ,нет ,кафе , "город  Москва ,  Тверская  улица ,  дом  15 " ,20
82732 ,Прайм ,да ,кафе , "город  Москва ,  Тверская  улица ,  дом  15 " ,20
60405 ,Пицца  Экспресс ,да ,кафе , "город  Москва ,  Тверская  улица ,  дом  17 " ,70
25141 ,Шоколадница  Кофе  Хаус ,да ,кафе , "город  Москва ,  Тверская  улица ,  дом  17 " ,60
59356 ,Шоколадница ,да ,кафе , "город  Москва ,  Тверская  улица ,  дом  19 " ,48
127915 ,Прайм ,да ,кафе , "город  Москва ,  Тверская  улица ,  дом  19А " ,41
157901 ,АВ-Дейли ,нет ,кафетерий , "город  Москва ,  Тверская  улица ,  дом  27 ,  строение  2 " ,8
71571 ,Шоколадница ,да ,кафе , "город  Москва ,  Тверская  улица ,  дом  27 ,  строение  2 " ,60
68446 ,Николай ,да ,кафе , "город  Москва ,  Тверская  улица ,  дом  30/2 ,  строение  1 " ,60
79486 ,Время  есть ,нет ,кафе , "город  Москва ,  Тверская  улица ,  дом  30/2 ,  строение  1 " ,60
98253 ,Кофе  Таймс ,нет ,кафе , "город  Москва ,  1-я  Тверская-Ямская  улица ,  дом  4 " ,64
106504 ,Чайхона  №1 ,да ,кафе , "город  Москва ,  1-я  Тверская-Ямская  улица ,  дом  7 " ,144
127913 ,Фудзи-Ко ,нет ,кафе , "город  Москва ,  1-я  Тверская-Ямская  улица ,  дом  7 " ,32
157659 ,МАГНОЛИЯ ,да ,кафетерий , "город  Москва ,  1-я  Тверская-Ямская  улица ,  дом  9 " ,10
127916 ,Прайм ,да ,кафе , "город  Москва ,  1-я  Тверская-Ямская  улица ,  дом  8 " ,40
129109 ,Тирольские  пироги ,да ,кафе , "город  Москва ,  1-я  Тверская-Ямская  улица ,  дом  11 " ,30
124578 ,Джаганнат ,да ,кафе , "город  Москва ,  1-я  Тверская-Ямская  улица ,  дом  13 ,  строение  1 " ,30
157978 ,АЛЁНКА ,нет ,кафе , "город  Москва ,  1-я  Тверская-Ямская  улица ,  дом  12 " ,26
23384 ,ART  PUB ,нет ,кафе , "город  Москва ,  улица  Госпитальный  Вал ,  дом  22/2 " ,90
25124 ,Шоколадница ,да ,кафе , "город  Москва ,  улица  Чаянова ,  дом  12 " ,35
24240 ,Шоколадница ,да ,кафе , "город  Москва ,  улица  Грузинский  Вал ,  дом  26 ,  строение  1 " ,68
154373 ,Фаршбургер ,нет ,кафе , "город  Москва ,  улица  Грузинский  Вал ,  дом  26 ,  строение  1 " ,40
21932 ,Кофе  Хаус ,да ,кафе , "город  Москва ,  Грузинский  переулок ,  дом  4 " ,48
24215 ,Кафе  «Чайхана  Айва» ,нет ,кафе , "город  Москва ,  Грузинский  переулок ,  дом  14 " ,48
153023 ,Кафе  «Свежая  выпечка» ,нет ,кафе , "город  Москва ,  улица  26-ти  Бакинских  Комиссаров ,  дом  7 ,  корпус  6 " ,10
24129 ,Дефакто ,нет ,кафе , "город  Москва ,  улица  Большая  Лубянка ,  дом  26/17 ,  строение  1 " ,48
68338 ,Волконский ,да ,кафе , "город  Москва ,  улица  Большая  Якиманка ,  дом  19 " ,20
111819 ,MosKalyan ,да ,кафе , "город  Москва ,  улица  Большая  Якиманка ,  дом  32 " ,50
22640 ,Шоколадница ,да ,кафе , "город  Москва ,  улица  Большая  Якиманка ,  дом  32 " ,50
152060 ,French  kiss ,нет ,кафетерий , "город  Москва ,  улица  Большая  Якиманка ,  дом  32 " ,4
156766 ,Хлеб  насущный ,да ,кафе , "город  Москва ,  улица  Большая  Якиманка ,  дом  56 " ,20
22635 ,Шоколадница ,да ,кафе , "город  Москва ,  улица  Большая  Якиманка ,  дом  58/2 " ,50
21798 ,Кофе  Хаус ,да ,кафе , "город  Москва ,  Дмитровское  шоссе ,  дом  15 ,  корпус  1 " ,50
25217 ,Сундук ,нет ,кафе , "город  Москва ,  Дмитровское  шоссе ,  дом  46 ,  корпус  1 " ,36
144558 ,Домино'с  Пицца ,да ,кафе , "город  Москва ,  улица  Доватора ,  дом  11 ,  корпус  1 " ,14
24323 ,Кафе  на  Доватора ,нет ,кафе , "город  Москва ,  улица  Доватора ,  дом  13 " ,20
24829 ,Марани ,нет ,кафе , "город  Москва ,  1-я  Дубровская  улица ,  дом  6 " ,40
25772 ,Пицца  Фабрика ,да ,кафе , "город  Москва ,  1-я  Дубровская  улица ,  дом  13 " ,40
130124 ,Кафе ,нет ,кафе , "город  Москва ,  улица  Дыбенко ,  дом  44 " ,40
22939 ,Шоколадница ,да ,кафе , "город  Москва ,  Енисейская  улица ,  дом  11 " ,40
22938 ,КАФЕ-БАР  «ЛЯ-НИКОЛЯ» ,нет ,кафе , "город  Москва ,  Енисейская  улица ,  дом  19 " ,30
22076 ,Булошная ,нет ,кафе , "город  Москва ,  Житная  улица ,  дом  10 " ,50
74713 ,Суши-Порт ,нет ,кафе , "город  Москва ,  проспект  Маршала  Жукова ,  дом  35 ,  корпус  1 " ,6
22376 ,Тратория ,нет ,кафе , "город  Москва ,  улица  Жуковского ,  дом  5 " ,50
21901 ,КАФЕТЕРИЙ ,нет ,кафе , "город  Москва ,  Заревый  проезд ,  дом  12 " ,48
139187 ,Блэк-кофе  мини-кофейня ,нет ,кафе , "город  Москва ,  Зубовский  бульвар ,  дом  16-20 ,  строение  1 " ,10
155952 ,Суши  WOK ,да ,кафе , "город  Москва ,  улица  Ибрагимова ,  дом  5А " ,3
73310 ,Папа  Джонс ,да ,кафе , "город  Москва ,  Измайловский  бульвар ,  дом  47 " ,63
83153 ,Кафе  «БЛЭК-КЭТ» ,нет ,кафе , "город  Москва ,  Измайловский  бульвар ,  дом  47 " ,30
140738 ,Кафе  Уют ,нет ,кафе , "город  Москва ,  улица  Исаковского ,  дом  2 ,  корпус  1 " ,20
21593 ,Сити  Пицца ,да ,кафе , "город  Москва ,  улица  Исаковского ,  дом  33 ,  корпус  3 " ,20
23365 ,СТАРАЯ  ГАВАНЬ ,нет ,кафе , "город  Москва ,  2-я  Кабельная  улица ,  дом  10 " ,45
22357 ,Чито-Ра ,нет ,кафе , "город  Москва ,  улица  Казакова ,  дом  10/2 ,  строение  1 " ,40
136546 ,Кондитерская  Волконский ,да ,кафе , "город  Москва ,  улица  Новый  Арбат ,  дом  22 " ,26
133416 ,Кальянная  №1 ,нет ,кафе , "город  Москва ,  улица  Новый  Арбат ,  дом  22 " ,70
21839 ,Шоколадница ,да ,кафе , "город  Москва ,  улица  Новый  Арбат ,  дом  22 " ,50
83594 ,Траттория  Семпличе ,нет ,кафе , "город  Москва ,  Долгоруковская  улица ,  дом  39/6 " ,50
88745 ,Кофе  Бин ,нет ,кафе , "город  Москва ,  Долгоруковская  улица ,  дом  39/6 " ,35
77796 ,Кафе  «Суло» ,нет ,кафе , "город  Москва ,  улица  Большие  Каменщики ,  дом  21/8 " ,50
150654 ,Love ,нет ,кафе , "город  Москва ,  2-й  квартал  Капотня ,  дом  1 " ,40
21659 ,Бар-  буфет  «Николай» ,да ,кафе , "город  Москва ,  Старая  Басманная  улица ,  дом  5 ,  строение  1 " ,65
26624 ,Флорентини ,нет ,кафе , "город  Москва ,  Старая  Басманная  улица ,  дом  9 ,  корпус  1 " ,48
148141 ,Кафе  «Фрэндс  Форевер» ,нет ,кафе , "город  Москва ,  Малая  Никитская  улица ,  дом  2/1 ,  строение  1 " ,20
148142 ,Кафе  «Брауни» ,нет ,кафе , "город  Москва ,  Малая  Никитская  улица ,  дом  2/1 ,  строение  1 " ,25
140369 ,Кафе  «Буба  на  Никитской» ,нет ,кафе , "город  Москва ,  Малая  Никитская  улица ,  дом  10 " ,30
156324 ,Чайхона  7-24 ,нет ,кафе , "город  Москва ,  Каширское  шоссе ,  дом  5 ,  корпус  1 " ,40
23869 ,Кафе ,нет ,кафе , "город  Москва ,  Керченская  улица ,  дом  1А ,  корпус  3 " ,50
144273 ,Dominos  Pizza ,нет ,кафе , "город  Москва ,  улица  Кибальчича ,  дом  2 ,  корпус  1 " ,18
22129 ,Погребок ,нет ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  22 ,  строение  1 " ,34
22368 ,Две  палочки ,да ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  24/7 ,  строение  1 " ,190
69445 ,Без  забот ,нет ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  24/7 ,  строение  1 " ,202
154750 ,Хлеб  насущный ,да ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  24/7 ,  строение  1 " ,50
73006 ,Джон  Джоли ,да ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  24/7 ,  строение  2 " ,80
21814 ,Шоколадница ,да ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  24/7 ,  строение  2 " ,55
26713 ,Макдоналдс ,да ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  30/1/2 ,  строение  1 " ,131
149517 ,Теремок ,да ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  30/1/2 ,  строение  2 " ,20
143454 ,LAMBIC  Брассерия ,нет ,кафе , "город  Москва ,  Мясницкая  улица ,  дом  40А " ,60
141582 , "Shell ,  Yes " ,нет ,кафе , "город  Москва ,  Рождественский  бульвар ,  дом  10/7 ,  строение  1 " ,30
24089 ,Шоколадница ,да ,кафе , "город  Москва ,  Кожевническая  улица ,  дом  5 " ,48
24184 ,Бар«Brix  Bar» ,нет ,кафе , "город  Москва ,  Малый  Козихинский  переулок ,  дом  10 ,  строение  1 " ,20
152448 ,Рюмочная  Бухучет ,нет ,кафе , "город  Москва ,  Большая  Сухаревская  площадь ,  дом  16/18 ,  строение  1 " ,40
22427 ,Мацони ,нет ,кафе , "город  Москва ,  Большая  Сухаревская  площадь ,  дом  16/18 ,  строение  2 " ,32
22552 ,Courvoisier ,нет ,кафе , "город  Москва ,  Малая  Сухаревская  площадь ,  дом  8 " ,80
132665 ,Папа  Вейдер ,нет ,кафе , "город  Москва ,  Большой  Златоустинский  переулок ,  дом  3/5 ,  строение  1 " ,50
25175 ,Восточка.  Этническая  кухня. ,нет ,кафе , "город  Москва ,  Комсомольский  проспект ,  дом  5/2 " ,20
25174 ,Snooty  Fox ,нет ,кафе , "город  Москва ,  Комсомольский  проспект ,  дом  14/1 ,  корпус  1 " ,48
151648 ,Винный  Базар  Соседи ,нет ,кафе , "город  Москва ,  Комсомольский  проспект ,  дом  14/1 ,  корпус  2 " ,38
81642 ,Беби  Джоли ,нет ,кафе , "город  Москва ,  Комсомольский  проспект ,  дом  14/1 ,  корпус  2 " ,80
24328 ,БАЛОВЕНЬ  Т ,нет ,кафе , "город  Москва ,  Комсомольский  проспект ,  дом  17 " ,25
