"NAME,C,254","OKATO_NAME,C,254","OKTMO_NAME,C,254"
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נÜ׀ַנ?׀üנ¢נ¥נ?׀ַנ?נֱנ?׀üנ?,נÜ׀ַנ?׀üנ¢נ¥נ?׀ַנ?נֱנ?׀üנ?,נפנ¥׀ַנ¥נ? נÜ׀ַנ?׀üנ¢נ¥נ?׀ַנ?נֱנ?׀üנ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נׁנ©נ?נ?נ©,נׁנ©נ?נ?נ©,נפנ¥׀ַנ¥נ? נׁנ©נ?נ?נ©
נֶנ?נ?׀üנ©׀אנ?,נֶנ?נ?׀üנ©׀אנ?,נֶנ?נ?׀üנ©׀אנ? (נשנֹנףנ׳)
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נÜנ¥׀ַנ¥נ?׀זנ?,נÜנ¥׀ַנ¥נ?נֱנ?,נפנ¥׀ַנ¥נ? נÜנ¥׀ַנ¥נ?נֱנ?
נÜנ?נ©נ?נ¥נ?׀üנ?,נÜנ?נ©נ?נ¥נ?׀üנ?,נפנ¥׀ַנ¥נ? נÜנ?נ©נ?נ¥נ?׀üנ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נשנ?נֱנ¢נ©נ?נ¥׀ַנ¥נ?,נשנ?נֱנ¢נ©נ?נ¥׀ַנ¥נ?,נפנ¥׀ַנ¥נ? נשנ?נֱנ¢נ©נ?נ¥׀ַנ¥נ?
נםנֱ׀ַנֱנ?׀ַ׀ֵנ¢נ¥-נƒ׀ַ׀גנ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נםנֱ׀ַנֱנ?׀ַ׀ֵנ¢נ¥-נƒ׀ַ׀גנ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נםנֱ׀ַנֱנ?׀ַ׀ֵנ¢נ¥-נƒ׀ַ׀גנ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נֶנ¥׀üנ?׀ַנֱ׀üנֱנ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נֶנ¥׀üנ?׀ַנֱ׀üנֱנ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נֶנ¥׀üנ?׀ַנֱ׀üנֱנ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נם׀י׀גנ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נם׀י׀גנ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נם׀י׀גנ?נ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נ÷נֱ׀ַנ¢נ¥נ?נ¥נ?נ¥נ?נ?נ?,נ״נ¥נ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נפנ¥׀ַנ¥נ? נ÷נֱ׀ַנ¢נ¥נ?נ¥נ?נ¥נ?נ?נ?
נםנֱ׀ַנ?׀ג׀אנ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נםנֱ׀ַנ?׀ג׀אנ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נםנֱ׀ַנ?׀ג׀אנ¥נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נזנ?נ?נ?׀ךנ©׀אנ?,נזנ?נ?נ?׀ךנ©׀אנ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נפנ¥׀ַנ¥נ? נזנ?נ?נ?׀ךנ©׀אנ?
נ£נ¥נֲנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ£נ¥נֲנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ£נ¥נֲנ?נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ¿נ?׀אנ¥נ?׀üנ?נ¥נ? ׀ַנ?נ?נ¥נ¢,נ¿נ?׀אנ¥נ?׀üנ?נ¥נ? ׀ַנ?נ?נ¥נ¢,נ¿נ?׀אנ¥נ?׀üנ?נ¥נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נרנ¥׀ינ¥׀ךנ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נרנ¥׀ינ¥׀ךנ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נרנ¥׀ינ¥׀ךנ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נÿ׀ü׀י׀ַנ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÿ׀ü׀י׀ַנ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÿ׀ü׀י׀ַנ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נÜנ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÜנ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÜנ?נ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ׳נ?נ©נ¢׀ונ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ׳נ?נ©נ¢׀ונ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ׳נ?נ©נ¢׀ונ¥נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נÜ׀ַנ?׀üנ¢נ¥נ?נ¥׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÜ׀ַנ?׀üנ¢נ¥נ?נ¥׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נÜ׀ַנ?׀üנ¢נ¥נ?נ¥׀ַ׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נרנֱנ¢נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נרנֱנ¢נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נרנֱנ¢נ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ£׀ן׀ינ©׀כנ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ£׀ן׀ינ©׀כנ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ£׀ן׀ינ©׀כנ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נףנ?נ?נ?נ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נףנ?נ?נ?נ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נףנ?נ?נ?נ¥נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נםנֱ׀ַנ?נ©נֱנ?נ¥-נƒנ¥׀üנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נםנֱ׀ַנ?נ©נֱנ?נ¥-נƒנ¥׀üנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נםנֱ׀ַנ?נ©נֱנ?נ¥-נƒנ¥׀üנ?נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נשנ?׀ַנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נשנ?׀ַנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נשנ?׀ַנ?נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נצנ¥נ?נ¥נ?נֱנ?נ¥נ?נ¥,נצנ¥נ?נ¥נ?נֱנ?נ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נפנ¥׀ַנ¥נ? נצנ¥נ?נ¥נ?נֱנ?נ¥נ?נ¥
נ״נ?׀ַנ¥-נסנ¥נ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ״נ?׀ַנ¥-נסנ¥נ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ״נ?׀ַנ¥-נסנ¥נ?נ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נƒנ¥נ?נ¥נ?׀מ׀üנ?,נƒנ¥נ?נ¥נ?׀מ׀üנ?,נפנ¥׀ַנ¥נ? נƒנ¥נ?נ¥נ?׀מ׀üנ?
נצנ?נ©׀י׀ַנ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נצנ?נ©׀י׀ַנ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נצנ?נ©׀י׀ַנ¥נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ׳נְ׀ז׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ׳נְנֱ׀ַ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ׳נְנֱ׀ַ׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נענ?נ¥׀ַ׀מנֱנ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נענ?נ¥׀ַ׀מנֱנ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נענ?נ¥׀ַ׀מנֱנ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ״נ¥נ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ״נ¥נ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ״נ¥נ?נ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נר׀ִנ?נֱ׀ַנֱ׀ונ?נ©נ? ׀ַנ?נ?נ¥נ¢,נר׀ִנ?נֱ׀ַנֱ׀ונ?נ©נ? ׀ַנ?נ?נ¥נ¢,נר׀ִנ?נֱ׀ַנֱ׀ונ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נבנ¥׀ךנ?נ?׀מ,נבנ¥׀ךנ?נ?׀מ,נפנ¥׀ַנ¥נ? נבנ¥׀ךנ?נ?׀מ
נר׀ג׀אנ¥נ?נ©׀ונ?נ©נ? ׀ַנ?נ?נ¥נ¢,נר׀ג׀אנ¥נ?נ©׀ונ?נ©נ? ׀ַנ?נ?נ¥נ¢,נר׀ג׀אנ¥נ?נ©׀ונ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ®׀זנ?נ?נ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ®נֱנ?נ?נ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נ®נֱנ?נ?נ¥נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נƒ׀ג׀ךנ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נƒ׀ג׀ךנ?נ©נ¢׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נƒ׀ג׀ךנ?נ©נ¢׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נב׀גנְ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נב׀גנְ׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נב׀גנְ׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נֶנ¥נ?נ¥נ?נ¥נ?נ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נֶנ¥נ?נ¥נ?נ¥נ?נ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נֶנ¥נ?נ¥נ?נ¥נ?נ?נ?׀üנ?נ©נ? נ?׀גנ¢נ©׀ונ©נ?נ?נ?׀מנ¢׀ןנ? ׀ַנ?נ?נ¥נ¢
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נ¡נ?נֱנ?׀י׀ַנ¥נ?נ¥׀ַ׀üנ?,נƒנ?נ?נ?נ¥נ?נ¥-נƒנ¥׀üנ?נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נפנ¥׀ַנ¥נ? נ¡נ?נֱנ?׀י׀ַנ¥נ?נ¥׀ַ׀üנ?
נֶנ¥׀ü׀אנ¥נ?,נֶנ¥׀ü׀אנ¥נ?,נƒנ¥׀üנֱנ?נ¥נ? נֶנ¥׀ü׀אנ¥נ? (נשנֹנףנ׳)
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נ«נ?נ©נ?נֱנ?נ¢׀ןנ?,נ«נ?נ©נ?נֱנ?נ¢׀ןנ?,נפנ¥׀ַנ¥נ? נ«נ?נ©נ?נֱנ?נ¢׀ןנ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נ¡נ?נֱנ?׀י׀ַנ¥׀ü׀ינ?נ?׀מ,נ¡נ?נֱנ?׀י׀ַנ¥׀ü׀ינ?נ?׀מ,נפנ¥׀ַנ¥נ? נ¡נ?נֱנ?׀י׀ַנ¥׀ü׀ינ?נ?׀מ
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נר׀ן׀ינ?נ?׀ַנ©נ¢נ¥,נר׀ן׀ינ?נ?׀ַנ©נ¢נ¥,נפנ¥׀ַנ¥נ? נר׀ן׀ינ?נ?׀ַנ©נ¢נ¥
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נרנ¥נ?נ¢׀ֵ,נרנ¥נ?נ¢׀ֵ,נפנ¥׀ַנ¥נ? נרנ¥נ?נ¢׀ֵ
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נÿנ?נ?נ¢׀ינֱנֱנ?נ?נ?,נÿנ?נ?נ¢׀ינֱנֱנ?נ?נ?,נפנ¥׀ַנ¥נ? נÿנ?נ?נ¢׀ינֱנֱנ?נ?נ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נצנְנֱ׀ַנֲנ©נ¢׀üנ?נ©נ?,נצנְנֱ׀ַנֲנ©נ¢׀üנ?נ©נ?,נפנ¥׀ַנ¥נ? נצנְנֱ׀ַנֲנ©נ¢׀üנ?נ©נ?
נז׀ַנ¥נ¢נ¢נ©׀ו׀ן נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ?,נז׀ַנ¥נ¢נ¢נ©׀ו׀ן,נפנ¥׀ַנ¥נ? נז׀ַנ¥נ¢נ¢נ©׀ו׀ן
נשנ?׀זנְנ?נ¢׀ןנ? נ?נ¥׀ַנ¥נ?נ¥נ?,נשנ?נֱנְנ?נ¢׀ןנ? נ?נ¥׀ַנ¥נ?נ¥נ?,נשנ?נֱנְנ?נ¢׀ןנ? נ?נ¥׀ַנ¥נ?נ¥נ? (נשנֹנףנ׳)
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נצנ¥נ?נ?נ¥נ?׀ַ׀גנ?נ¢׀ןנ?,נצנ¥נ?נ?נ¥נ?׀ַ׀גנ?נ¢׀ןנ?,נפנ¥׀ַנ¥נ? נצנ¥נ?נ?נ¥נ?׀ַ׀גנ?נ¢׀ןנ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נƒ׀ַנ¥׀ינ?נ©נ¢נ¥,נƒ׀ַנ¥׀ינ?נ©נ¢נ¥,נפנ¥׀ַנ¥נ? נƒ׀ַנ¥׀ינ?נ©נ¢נ¥
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נ׳׀ַנֱ׀אנ¥נ?נ¥-נש׀גנֱנ?נ¥,נ׳׀ַנֱ׀אנ¥נ?נ¥-נש׀גנֱנ?נ¥,נפנ¥׀ַנ¥נ? נ׳׀ַנֱ׀אנ¥נ?נ¥-נש׀גנֱנ?נ¥
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נÜנ¥׀ינֱנ?׀מנ¢נ©נ?נ©,נÜנ¥׀ינֱנ?׀מנ¢נ©נ?נ©,נÜנ¥׀ינֱנ?׀מנ¢נ©נ?נ©
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נס׀ַ׀ֵנְנ©נ¢נ¥,נס׀ַ׀ֵנְנ©נ¢נ¥,נפנ¥׀ַנ¥נ? נס׀ַ׀ֵנְנ©נ¢נ¥
נû׀גנ?נ¥נ?׀üנ?נ©נ? נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ?,נû׀גנ?נ¥נ?׀üנ?נ©נ?,נפנ¥׀ַנ¥נ? נû׀גנ?נ¥נ?׀üנ?נ©נ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נרנ¥׀üנ©נ¢נ¥-נƒנֱ׀י׀ַנ¥נ?׀üנ?נ©נ?,נ®נֱנ?נ?נ¥נ?׀üנ?נ©נ? ׀ַנ?נ?נ¥נ¢,נפנ¥׀ַנ¥נ? נרנ¥׀üנ©נ¢נ¥-נƒנֱ׀י׀ַנ¥נ?׀üנ?נ©נ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נצ׀גנ?נ¢נ?,נצ׀גנ?נ¢נ?,נפנ¥׀ַנ¥נ? נצ׀גנ?נ¢נ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נםנֱ׀ַנ?׀ג׀אנ¥נ?,נםנֱ׀ַנ?׀ג׀אנ¥נ?,נפנ¥׀ַנ¥נ? נםנֱ׀ַנ?׀ג׀אנ¥נ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נƒ׀ג׀כנ©נ¢נ¥,נƒ׀ג׀כנ©נ¢נ¥,נפנ¥׀ַנ¥נ? נƒ׀ג׀כנ©נ¢נ¥
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נûנֱנ?נֱנְנ¢נ¥נ?נ¥׀ַנ¥נֲנ¢׀ןנ?,נûנֱנ?נֱנְנ¢נ¥נ?נ¥׀ַנ¥נֲנ¢׀ןנ?,נפנ¥׀ַנ¥נ? נûנֱנ?נֱנְנ¢נ¥נ?נ¥׀ַנ¥נֲנ¢׀ןנ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נבנֱ׀ג׀ינ¥נ?,נבנֱ׀ג׀ינ¥נ?,נפנ¥׀ַנ¥נ? נבנֱ׀ג׀ינ¥נ?
נ?נ¥׀ַנ¥נ?׀üנ?נ¥נ? נ¥נ?׀ַ׀גנ? נÜנ¥נ?נ¥נ?נ¢נ?,נÜנ¥נ?נ¥נ?נ¢נ?,נפנ¥׀ַנ¥נ? נÜנ¥נ?נ¥נ?נ¢נ?
נÜ׀ַנ?׀üנ¢נ¥נְנ¢נ?נ?נֱנ¢׀üנ?,נÜ׀ַנ?׀üנ¢נ¥נְנ¢נ?נ?נֱנ¢׀üנ?,נפנ¥׀ַנ¥נ? נÜ׀ַנ?׀üנ¢נ¥נְנ¢נ?נ?נֱנ¢׀üנ? (נשנֹנףנ׳)
